tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
980,28:32.9,44:53.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3273,Manila & 1st,40.72165072,-74.04288411,42153,Subscriber,1981,1
616,33:14.5,43:31.0,3267,Morris Canal,40.71241882,-74.03852552,3211,Newark Ave,40.72152515,-74.04630454,45656,Subscriber,1960,1
524,40:38.5,49:22.9,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,45967,Subscriber,1988,1
659,41:31.8,52:31.5,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.7287448,-74.0321082,46079,Subscriber,1987,1
1339,45:56.2,08:15.5,3681,Grand St,40.71517768,-74.03768331,3269,Brunswick & 6th,40.72601173,-74.05038893,44380,Subscriber,1990,1
1616,52:27.2,19:24.1,3199,Newport Pkwy,40.7287448,-74.0321082,3276,Marin Light Rail,40.71458404,-74.04281706,43352,Subscriber,1980,1
1650,54:12.7,21:42.9,3187,Warren St,40.7211236,-74.03805095,3638,Washington St,40.7242941,-74.0354826,42574,Customer,1969,0
2059,54:17.5,28:37.4,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,42117,Customer,1969,0
1656,54:42.9,22:19.9,3195,Sip Ave,40.7308971,-74.06391263,3187,Warren St,40.7211236,-74.03805095,49081,Subscriber,1995,1
565,00:17.4,09:42.8,3273,Manila & 1st,40.72165072,-74.04288411,3267,Morris Canal,40.71241882,-74.03852552,42153,Subscriber,1960,1
1535,02:47.9,28:23.7,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,44723,Customer,1969,0
843,07:36.5,21:40.1,3267,Morris Canal,40.71241882,-74.03852552,3187,Warren St,40.7211236,-74.03805095,31794,Subscriber,1986,1
981,09:54.4,26:15.6,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,44747,Subscriber,1989,1
1534,16:43.4,42:18.4,3187,Warren St,40.7211236,-74.03805095,3273,Manila & 1st,40.72165072,-74.04288411,47255,Subscriber,1979,1
566,21:45.3,31:11.9,3192,Liberty Light Rail,40.7112423,-74.0557013,3205,JC Medical Center,40.71653978,-74.04963791,38906,Subscriber,1967,1
970,23:25.8,39:36.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,42526,Customer,1969,0
372,41:05.4,47:18.0,3205,JC Medical Center,40.71653978,-74.04963791,3273,Manila & 1st,40.72165072,-74.04288411,38906,Subscriber,1967,1
628,12:19.0,22:47.5,3638,Washington St,40.7242941,-74.0354826,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42890,Customer,1969,0
378,25:06.9,31:25.0,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,42157,Subscriber,1987,1
326,25:56.4,31:23.1,3185,City Hall,40.7177325,-74.043845,3273,Manila & 1st,40.72165072,-74.04288411,42371,Subscriber,1967,1
829,30:21.8,44:10.8,3199,Newport Pkwy,40.7287448,-74.0321082,3211,Newark Ave,40.72152515,-74.04630454,46079,Subscriber,1987,1
1129,38:30.8,57:19.9,3203,Hamilton Park,40.72759597,-74.04424731,3681,Grand St,40.71517768,-74.03768331,43206,Subscriber,1990,1
697,42:57.4,54:34.4,3273,Manila & 1st,40.72165072,-74.04288411,3267,Morris Canal,40.71241882,-74.03852552,38906,Subscriber,1986,1
1921,46:12.0,18:13.1,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,44785,Subscriber,1971,1
408,47:39.2,54:27.8,3638,Washington St,40.7242941,-74.0354826,3681,Grand St,40.71517768,-74.03768331,44358,Subscriber,1996,1
518,53:37.3,02:15.7,3203,Hamilton Park,40.72759597,-74.04424731,3209,Brunswick St,40.7241765,-74.0506564,46527,Subscriber,1970,1
432,00:37.2,07:49.4,3187,Warren St,40.7211236,-74.03805095,3276,Marin Light Rail,40.71458404,-74.04281706,42117,Subscriber,1993,1
1022,06:53.4,23:56.1,3276,Marin Light Rail,40.71458404,-74.04281706,3678,Fairmount Ave,40.72572614,-74.07195926,43352,Customer,1969,0
960,21:58.8,37:58.9,3186,Grove St PATH,40.71958612,-74.04311746,3194,McGinley Square,40.72533993,-74.06762213,42526,Subscriber,1985,2
707,32:20.9,44:08.6,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,42585,Subscriber,1994,1
276,52:57.3,57:33.8,3185,City Hall,40.7177325,-74.043845,3276,Marin Light Rail,40.71458404,-74.04281706,32526,Customer,1969,0
1230,33:39.9,54:10.3,3194,McGinley Square,40.72533993,-74.06762213,3191,Union St,40.7182113,-74.0836394,42526,Subscriber,1988,1
1173,48:45.0,08:18.0,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42949,Customer,1969,0
2617,58:49.8,42:27.1,3280,Astor Place,40.7192822,-74.07126188,3281,Leonard Gordon Park,40.74590997,-74.05727148,42453,Subscriber,1987,2
605,27:56.4,38:01.9,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.7308971,-74.06391263,44762,Subscriber,1975,1
530,54:24.1,03:14.5,3681,Grand St,40.71517768,-74.03768331,3203,Hamilton Park,40.72759597,-74.04424731,44358,Subscriber,1990,1
649,07:20.9,18:10.4,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,44747,Subscriber,1991,1
2320,21:51.1,00:31.3,3268,Lafayette Park,40.71346383,-74.06285852,519,Pershing Square North,40.751873,-73.977706,42364,Customer,1998,1
